direction,entryTime,entryPrice,exitTime,exitPrice,profit,profitPct,growth,riskPct,riskSeries,rmultiple,holdingPeriod,exitReason,stopPrice,stopPriceSeries,profitTarget
long,2021/10/02,45626.32,2021/11/02,46279.81,653.489999999998,1.4322654117184948,1.014322654117185,4.999999999999997,,0.2864530823436991,19,exit-rule,43345.004,,
long,2021/12/02,46542.6,2021/12/02,47612.52,1069.9199999999983,2.298797230923924,1.0229879723092392,4.999999999999995,,0.4597594461847853,1,exit-rule,44215.47,,
long,2021/12/02,47268.27,2021/12/02,47577.49,309.22000000000116,0.6541809124810389,1.0065418091248104,5.000000000000005,,0.13083618249620765,1,exit-rule,44904.856499999994,,
long,Invalid date,47298.15,Invalid date,47629.76,331.6100000000006,0.701105645781073,1.0070110564578107,5.000000000000003,,0.14022112915621454,1,exit-rule,44933.2425,,
long,Invalid date,46995.01,Invalid date,47594.52,599.5099999999948,1.275688631622793,1.012756886316228,5.0000000000000036,,0.2551377263245584,16,exit-rule,44645.2595,,
long,Invalid date,48011.45,Invalid date,47849.99,-161.45999999999913,-0.3362947796827614,0.9966370522031723,5.000000000000004,,-0.06725895593655222,8,exit-rule,45610.877499999995,,
long,Invalid date,47951.01,Invalid date,47938.84,-12.17000000000553,-0.025380070200826905,0.9997461992979917,4.999999999999995,,-0.005076014040165386,2,exit-rule,45553.459500000004,,
long,Invalid date,47911.1,Invalid date,48305.28,394.1800000000003,0.8227321017467775,1.0082273210174677,5.000000000000001,,0.16454642034935546,1,exit-rule,45515.545,,
long,Invalid date,48165.07,Invalid date,48616.79,451.72000000000116,0.9378580784788669,1.0093785807847886,4.999999999999997,,0.18757161569577346,1,exit-rule,45756.8165,,
long,Invalid date,48575.06,Invalid date,49133.45,558.3899999999994,1.1495405255289433,1.0114954052552894,4.999999999999994,,0.2299081051057889,1,exit-rule,46146.307,,
long,Invalid date,51375.12,Invalid date,51796.24,421.11999999999534,0.819696382217687,1.0081969638221768,5.000000000000003,,0.1639392764435373,1,exit-rule,48806.364,,
long,Invalid date,51585.29,Invalid date,51839.56,254.2699999999968,0.4929118359129061,1.0049291183591291,4.999999999999995,,0.09858236718258133,1,exit-rule,49006.0255,,
long,Invalid date,51760.01,Invalid date,52005.08,245.0699999999997,0.47347363340926657,1.0047347363340926,5.0000000000000036,,0.09469472668185323,1,exit-rule,49172.0095,,
long,Invalid date,51552.61,Invalid date,51734.87,182.26000000000204,0.35354175084443257,1.0035354175084443,4.999999999999999,,0.07070835016888653,6,exit-rule,48974.9795,,
long,Invalid date,55424,Invalid date,55834.95,410.9499999999971,0.7414657909930664,1.0074146579099306,4.999999999999995,,0.1482931581986134,1,exit-rule,52652.8,,
long,Invalid date,56092.02,Invalid date,56795.81,703.7900000000009,1.2547061061448685,1.0125470610614486,5.000000000000004,,0.2509412212289735,1,exit-rule,53287.418999999994,,
long,Invalid date,56235.15,Invalid date,56855.13,619.9799999999959,1.1024777207849465,1.0110247772078496,5,,0.22049554415698935,1,exit-rule,53423.3925,,
long,Invalid date,55785.61,Invalid date,52996.3295,-2789.2805000000008,-5.000000000000001,0.95,5.000000000000001,,-1,6,stop-loss,52996.3295,,
long,Invalid date,52066.99,Invalid date,49463.640499999994,-2603.349500000004,-5.000000000000008,0.95,5.000000000000008,,-1,14,stop-loss,49463.640499999994,,
long,Invalid date,49544.58,Invalid date,47067.351,-2477.2289999999994,-4.999999999999998,0.9500000000000001,4.999999999999998,,-1,0,stop-loss,47067.351,,
long,Invalid date,48072.01,Invalid date,45668.4095,-2403.6005000000005,-5.000000000000001,0.95,5.000000000000001,,-1,0,stop-loss,45668.4095,,
long,Invalid date,48670.54,Invalid date,46237.013,-2433.527000000002,-5.0000000000000036,0.95,5.0000000000000036,,-1,0,stop-loss,46237.013,,
long,Invalid date,48602.02,Invalid date,46171.918999999994,-2430.1010000000024,-5.000000000000005,0.95,5.000000000000005,,-1,2,stop-loss,46171.918999999994,,
long,Invalid date,47812.8,Invalid date,45422.16,-2390.6399999999994,-4.999999999999998,0.9500000000000001,4.999999999999998,,-1,57,stop-loss,45422.16,,
long,Invalid date,45727.75,Invalid date,43441.3625,-2286.387499999997,-4.999999999999993,0.9500000000000001,4.999999999999993,,-1,53,stop-loss,43441.3625,,
long,Invalid date,43514.77,2021/02/03,49137.73,5622.960000000006,12.921957303232917,1.1292195730323291,4.999999999999999,,2.584391460646584,29,exit-rule,41339.0315,,
long,2021/02/03,48676.09,2021/03/03,48436.61,-239.47999999999593,-0.4919869282844944,0.9950801307171551,4.9999999999999964,,-0.09839738565689894,7,exit-rule,46242.2855,,
