date,open,high,low,close,volume,quoteVolume
"12/03/2021, 20:00:00",57175.26000000,57667.79000000,57070.00000000,57349.23000000,2355.16939400,135217315.90090701
"12/03/2021, 21:00:00",57349.24000000,57547.07000000,56712.51000000,56942.41000000,2759.49276100,157560117.21653335
"12/03/2021, 22:00:00",56942.41000000,57200.00000000,56400.00000000,56696.80000000,3482.30673400,197381435.60371237
"12/03/2021, 23:00:00",56696.81000000,57170.00000000,56262.14000000,56936.78000000,2554.41954900,144882646.37166268
"13/03/2021, 00:00:00",56936.78000000,57465.38000000,56859.06000000,57157.29000000,2252.89020400,128889329.20606505
"13/03/2021, 01:00:00",57157.29000000,57500.00000000,57153.68000000,57221.72000000,1911.32908500,109588876.28728603
"13/03/2021, 02:00:00",57221.72000000,57307.20000000,56312.91000000,56689.35000000,2913.36172600,165168452.54477606
"13/03/2021, 03:00:00",56689.36000000,56707.00000000,56081.59000000,56386.39000000,2358.62457700,132887326.66178754
"13/03/2021, 04:00:00",56386.39000000,56639.54000000,56078.23000000,56473.41000000,2183.69769500,123160401.31981544
"13/03/2021, 05:00:00",56473.41000000,56790.00000000,56308.98000000,56694.32000000,1902.37529900,107744212.64804490
"13/03/2021, 06:00:00",56694.32000000,56899.00000000,56257.47000000,56896.32000000,1547.93218100,87520342.53587563
"13/03/2021, 07:00:00",56882.74000000,57090.46000000,56610.00000000,56744.89000000,1432.00306800,81423246.77819168
"13/03/2021, 08:00:00",56744.89000000,57060.86000000,56491.92000000,56931.58000000,1759.40972700,99851921.21550119
"13/03/2021, 09:00:00",56931.57000000,57389.58000000,56753.90000000,57343.70000000,1998.20036800,113909858.80102126
"13/03/2021, 10:00:00",57343.70000000,57649.03000000,57126.20000000,57434.31000000,2957.35947100,169868896.01532680
"13/03/2021, 11:00:00",57434.30000000,57614.52000000,57253.31000000,57610.77000000,1827.03931000,104898332.10026139
"13/03/2021, 12:00:00",57610.77000000,59850.00000000,57446.81000000,59448.19000000,12696.97324300,750024013.95725474
"13/03/2021, 13:00:00",59448.20000000,60200.00000000,59420.99000000,59849.74000000,9101.22864900,544708721.09328957
"13/03/2021, 14:00:00",59853.58000000,60500.00000000,59232.53000000,59911.99000000,5886.08542200,352958744.72774301
"13/03/2021, 15:00:00",59911.99000000,60159.45000000,59500.00000000,59915.25000000,3621.79620900,216545084.88078375
"13/03/2021, 16:00:00",59915.30000000,60087.09000000,59700.67000000,59756.45000000,2295.31131800,137491113.63501919
"13/03/2021, 17:00:00",59761.93000000,59953.63000000,59523.00000000,59692.99000000,2357.24358600,140901493.52422564
"13/03/2021, 18:00:00",59693.00000000,59924.18000000,59458.67000000,59820.43000000,2721.30396300,162527909.67512986
"13/03/2021, 19:00:00",59820.39000000,60520.00000000,59751.70000000,60333.33000000,3328.78742800,200018042.39036289
"13/03/2021, 20:00:00",60333.33000000,60451.39000000,59977.60000000,60281.95000000,2419.09522400,145583487.30112188
"13/03/2021, 21:00:00",60281.95000000,60864.97000000,60144.20000000,60773.56000000,3093.95316800,187200648.05200946
"13/03/2021, 22:00:00",60773.56000000,61844.00000000,60651.74000000,61648.26000000,6042.50281900,370846057.04175508
"13/03/2021, 23:00:00",61648.26000000,61737.02000000,60605.50000000,61151.07000000,4486.03221700,274099735.55532582
"14/03/2021, 00:00:00",61156.40000000,61311.19000000,60767.62000000,61096.04000000,1770.67694100,108082107.64509043
"14/03/2021, 01:00:00",61091.75000000,61480.00000000,61089.98000000,61188.39000000,2544.09773700,155963303.14626481
"14/03/2021, 02:00:00",61188.38000000,61724.79000000,60900.00000000,61260.48000000,2902.15756100,178152245.82840269
"14/03/2021, 03:00:00",61260.47000000,61260.48000000,60724.26000000,61081.00000000,2275.23627800,138789298.91416191
"14/03/2021, 04:00:00",61081.00000000,61218.20000000,60788.01000000,61061.27000000,1563.80244800,95357203.88183232
"14/03/2021, 05:00:00",61061.28000000,61472.08000000,60900.00000000,61356.31000000,1564.46519700,95843858.04768765
"14/03/2021, 06:00:00",61356.30000000,61595.09000000,61088.67000000,61225.53000000,1478.03990500,90606709.62163290
"14/03/2021, 07:00:00",61225.54000000,61285.41000000,60903.96000000,61016.29000000,1714.88950900,104720513.49644333
"14/03/2021, 08:00:00",61016.29000000,61016.30000000,60523.14000000,60975.39000000,2353.14978300,143136145.20747868
"14/03/2021, 09:00:00",60975.39000000,60975.39000000,60455.28000000,60494.80000000,1519.28971800,92234962.64422141
"14/03/2021, 10:00:00",60494.80000000,60871.03000000,60250.01000000,60787.75000000,2163.70124000,131189408.73618039
"14/03/2021, 11:00:00",60787.75000000,61110.53000000,60618.00000000,60934.11000000,1847.33840300,112600404.62197312
"14/03/2021, 12:00:00",60933.62000000,60970.00000000,60135.37000000,60293.09000000,2947.30181100,178349426.28366977
"14/03/2021, 13:00:00",60293.08000000,60405.03000000,59354.62000000,60308.31000000,4632.32120400,277582980.75469308
"14/03/2021, 14:00:00",60308.30000000,60550.00000000,60140.96000000,60427.82000000,2296.79355700,138632917.16206044
"14/03/2021, 15:00:00",60427.81000000,60481.70000000,59734.03000000,59940.00000000,2543.07988300,152769221.56988017
"14/03/2021, 16:00:00",59940.00000000,60477.83000000,59868.12000000,60001.91000000,1950.74360500,117410605.02275073
"14/03/2021, 17:00:00",60001.90000000,60150.00000000,59470.00000000,59681.26000000,2495.61525600,149336242.94249174
"14/03/2021, 18:00:00",59681.21000000,60066.59000000,59300.00000000,59567.74000000,3099.34760800,184953713.99594900
"14/03/2021, 19:00:00",59567.74000000,60023.07000000,59523.66000000,59701.10000000,1638.55137800,97971937.36521324
"14/03/2021, 20:00:00",59701.10000000,60369.99000000,59700.00000000,60138.31000000,1579.17760400,94907457.27258277
"14/03/2021, 21:00:00",60138.31000000,60200.00000000,59789.74000000,59931.70000000,1318.69249000,79162190.55300161
"14/03/2021, 22:00:00",59928.71000000,60325.98000000,59702.78000000,60264.48000000,1677.50289300,100584010.81332785
"14/03/2021, 23:00:00",60264.48000000,60485.08000000,59852.18000000,60081.54000000,1480.96127700,89065134.54869998
"15/03/2021, 00:00:00",60081.55000000,60324.43000000,59733.38000000,60201.19000000,1414.97297300,84965673.31902896
"15/03/2021, 01:00:00",60201.19000000,60750.00000000,58966.78000000,58968.31000000,4143.92116900,248075311.28127877
"15/03/2021, 02:00:00",58976.08000000,59917.78000000,58705.47000000,59404.48000000,4470.86309900,265713953.23734152
"15/03/2021, 03:00:00",59404.48000000,60251.42000000,59227.52000000,60066.56000000,2965.91702300,177264954.87272399
"15/03/2021, 04:00:00",60066.56000000,60331.02000000,60037.61000000,60069.63000000,1776.36213400,106937773.31051113
"15/03/2021, 05:00:00",60069.63000000,60491.47000000,60069.62000000,60379.99000000,1353.80793600,81603410.21082850
"15/03/2021, 06:00:00",60379.99000000,60633.43000000,59658.87000000,59773.71000000,2437.90966500,146672139.53938653
"15/03/2021, 07:00:00",59773.70000000,59916.24000000,59005.00000000,59013.35000000,3320.90935200,197532625.47269636
"15/03/2021, 08:00:00",59019.39000000,59365.42000000,58421.00000000,58781.49000000,4947.78241200,291146694.77416573
"15/03/2021, 09:00:00",58783.38000000,58792.57000000,57253.00000000,57789.76000000,8895.35121600,515335194.02854789
"15/03/2021, 10:00:00",57789.75000000,58350.00000000,57500.00000000,57757.70000000,4975.32173200,288336805.06503649
"15/03/2021, 11:00:00",57757.71000000,58100.00000000,54600.00000000,55867.91000000,16138.46740100,905203244.19086457
"15/03/2021, 12:00:00",55871.29000000,56438.00000000,55555.55000000,56355.14000000,5624.83382900,315479252.50055925
"15/03/2021, 13:00:00",56355.13000000,56576.37000000,55888.01000000,56150.79000000,4161.88247500,234126646.76055732
"15/03/2021, 14:00:00",56150.80000000,56481.38000000,55050.00000000,56439.53000000,6180.17600300,344675696.13245714
"15/03/2021, 15:00:00",56439.54000000,57046.87000000,56250.48000000,56855.58000000,4832.09007800,274254493.32146787
"15/03/2021, 16:00:00",56855.58000000,57312.47000000,56123.12000000,56134.09000000,4699.21633300,267295233.12895629
"15/03/2021, 17:00:00",56134.09000000,56816.69000000,55854.20000000,56224.13000000,4402.38440100,247998456.87422206
"15/03/2021, 18:00:00",56224.14000000,56700.00000000,55669.28000000,56247.87000000,4462.95611200,251075090.05218074
"15/03/2021, 19:00:00",56261.02000000,56331.11000000,55478.01000000,56035.79000000,3315.71378600,185299555.94013669
"15/03/2021, 20:00:00",56034.82000000,56377.66000000,55800.00000000,56113.90000000,2345.77916800,131599524.68354643
"15/03/2021, 21:00:00",56113.90000000,56647.24000000,56096.80000000,56570.36000000,2094.00178400,118124197.63037133
"15/03/2021, 22:00:00",56570.37000000,56930.17000000,56221.00000000,56379.97000000,2748.53681400,155576007.81124944
"15/03/2021, 23:00:00",56379.97000000,56940.00000000,56338.56000000,56707.71000000,1725.16621500,97702184.79430900
"16/03/2021, 00:00:00",56712.71000000,56900.00000000,55979.22000000,56136.73000000,2331.70503600,131374668.50131774
"16/03/2021, 01:00:00",56144.74000000,56672.00000000,55537.00000000,55605.20000000,2564.29329400,143913249.25993820
"16/03/2021, 02:00:00",55605.20000000,56140.55000000,53960.11000000,54088.76000000,7957.15358700,437202648.13417986
"16/03/2021, 03:00:00",54097.20000000,54568.42000000,53271.34000000,54471.57000000,6577.50139400,354381089.45398518
"16/03/2021, 04:00:00",54471.57000000,54649.95000000,54122.38000000,54567.64000000,2831.21352800,154093135.08368528
"16/03/2021, 05:00:00",54567.64000000,54624.99000000,53850.00000000,54272.86000000,3152.44796100,170852387.52141331
"16/03/2021, 06:00:00",54272.66000000,54850.00000000,54188.82000000,54418.19000000,2351.53507500,128281117.37242801
"16/03/2021, 07:00:00",54418.19000000,54459.08000000,53607.93000000,54096.52000000,2955.46035700,159632428.00944406
"16/03/2021, 08:00:00",54088.44000000,55334.77000000,53650.00000000,55060.06000000,4606.99276500,251599927.65034215
"16/03/2021, 09:00:00",55060.05000000,55491.00000000,54787.70000000,55239.81000000,3771.70482300,208210331.92943864
"16/03/2021, 10:00:00",55239.81000000,56100.00000000,55110.73000000,55894.27000000,3835.32871400,213901595.63400257
"16/03/2021, 11:00:00",55892.13000000,56400.00000000,55709.32000000,55870.43000000,2595.14560500,145272849.09308388
"16/03/2021, 12:00:00",55870.43000000,56150.05000000,55432.44000000,55805.00000000,2847.30433300,158917868.72733189
"16/03/2021, 13:00:00",55805.00000000,55900.00000000,55079.63000000,55471.21000000,3253.39736400,180370410.51099929
"16/03/2021, 14:00:00",55464.11000000,55631.57000000,54596.89000000,55091.95000000,3389.37464000,186675722.53714168
"16/03/2021, 15:00:00",55091.94000000,55906.86000000,55006.35000000,55324.30000000,3311.89499300,183623764.90859133
"16/03/2021, 16:00:00",55324.30000000,55722.55000000,55199.48000000,55645.93000000,2532.83420700,140545964.75380359
"16/03/2021, 17:00:00",55645.93000000,55913.57000000,55420.00000000,55844.92000000,2814.91292800,156715501.88552340
"16/03/2021, 18:00:00",55844.92000000,56087.02000000,55436.66000000,55657.89000000,2849.02842900,158841732.94560050
"16/03/2021, 19:00:00",55657.90000000,55850.99000000,54950.16000000,55250.21000000,3538.50365500,195923778.17482664
"16/03/2021, 20:00:00",55250.20000000,55667.95000000,55091.32000000,55349.99000000,2023.35062100,112029692.96213441
"16/03/2021, 21:00:00",55349.99000000,55820.00000000,55151.70000000,55731.36000000,1579.06637200,87714795.49289385
"16/03/2021, 22:00:00",55731.36000000,56431.41000000,55673.23000000,56373.10000000,2877.44784500,161651593.80010455
"16/03/2021, 23:00:00",56369.86000000,56619.02000000,56083.08000000,56450.11000000,1699.81433600,95842718.19096621
"17/03/2021, 00:00:00",56450.10000000,56820.00000000,56225.79000000,56243.43000000,2651.03478600,150005594.50554297
"17/03/2021, 01:00:00",56243.44000000,56938.29000000,56070.23000000,56900.75000000,1984.24603700,111972558.36763656
"17/03/2021, 02:00:00",56900.74000000,57189.43000000,56258.77000000,56518.57000000,3017.41179500,171061428.51151949
"17/03/2021, 03:00:00",56518.57000000,56535.06000000,56060.00000000,56283.40000000,1658.77751200,93420081.73884519
"17/03/2021, 04:00:00",56283.41000000,56283.41000000,55629.34000000,55777.69000000,2010.75917400,112448953.68323780
"17/03/2021, 05:00:00",55777.68000000,56152.41000000,55401.02000000,55506.23000000,1845.94923000,103036667.73348934
"17/03/2021, 06:00:00",55506.23000000,55861.88000000,55401.01000000,55569.07000000,1498.02164200,83352718.56123611
"17/03/2021, 07:00:00",55569.06000000,55970.28000000,55185.42000000,55951.37000000,2124.18924800,118057910.85231841
"17/03/2021, 08:00:00",55951.37000000,56326.53000000,55834.29000000,56306.84000000,2223.80240100,124730274.66955771
"17/03/2021, 09:00:00",56306.84000000,56322.46000000,55682.03000000,55821.01000000,1768.83825900,99041648.72076432
"17/03/2021, 10:00:00",55819.23000000,56052.63000000,55622.94000000,55775.16000000,1931.02047100,107751893.61626658
